Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%;Thumbnail
92;Joachim Andersen;DEN;DF;Crystal Palace;Premier League;26;1996;17;17;1477;16.4;1;0.67;0.3;45.5;0.09;0.2;11;0;0;0;50.9;63.8;79.8;1207.7;469.9;11.8;12.9;91;29.8;32.1;92.6;9.09;17.3;52.7;0;0.24;4.15;0.24;0;2.68;63.8;60;3.66;3.23;0.06;1.71;0.24;0.37;0.06;0;0;0;50.9;0.18;0.55;0.61;0.55;0.06;0;0;0;0;0.06;0;0.06;0;0;0;0;1.46;0.67;1.04;0.43;0;0.67;1.22;55;0.55;1.04;0.55;0.49;0.98;2.44;6.95;0;76.2;14.3;44;29.7;2.74;1.22;76.2;0.37;0.18;50;0.18;50;43.5;213.3;111.2;0.24;0.24;0.12;0.37;0.12;49.5;0.3;0.18;0;0;0.98;0.67;0;0.24;0.67;0;0;0;6.1;2.44;1.1;69;https://tmssl.akamaized.net/images/foto/normal/joachim-andersen-156778.png?lm=1
93;Elliot Anderson;SCO;FWMF;Newcastle Utd;Premier League;20;2002;10;0;121;1.3;0;3.08;0.77;25;0;0;12;0;0;0;41.5;54.6;76.1;620.8;206.2;20.8;25.4;81.8;16.9;20;84.6;1.54;1.54;100;0;2.31;5.38;0.77;0;6.15;54.6;52.3;1.54;0;0;0;2.31;0.77;0.77;0;0;0;41.5;0.77;3.85;6.92;3.08;0;0.77;0;3.08;0;0;0;0;0;0;0;0;3.85;2.31;3.08;0;0.77;1.54;3.08;50;1.54;3.08;0.77;2.31;1.54;5.38;0;0;83.8;1.54;13.1;26.9;46.2;16.9;83.8;10;1.54;15.4;5.38;53.8;53.8;383.8;206.2;11.5;3.85;6.92;2.31;3.85;56.2;10.8;0;0;0;1.54;5.38;0.77;2.31;2.31;0;0;0;9.23;3.85;1.54;71.4;https://tmssl.akamaized.net/images/foto/normal/elliot-anderson-156777.png?lm=1
94;Felipe Anderson;BRA;FW;Lazio;Serie A;29;1993;22;20;1687;18.7;6;1.18;0.64;54.5;0.27;0.5;14.2;0;0;0;30.4;39.8;76.3;432.8;93.3;19.1;22.6;84.8;8.82;11.2;78.9;1.55;2.73;56.9;0.11;1.55;1.82;1.18;0.16;3.32;39.8;38.6;1.07;0.11;0.05;0.27;1.18;0.37;0.16;0.05;0.11;0;30.4;0.11;1.12;3.05;2.51;0.05;0.32;0.11;0.05;0;0.48;0.27;0;0.16;0.05;0;0;2.3;1.44;0.7;1.39;0.21;0.8;1.82;44.1;1.02;1.66;0.11;1.55;0.64;2.94;0.86;0;52.4;0.75;6.2;23.9;23;4.06;52.4;2.89;1.44;50;1.34;46.3;27.8;162.8;77.3;2.67;1.93;0.91;2.73;1.6;39;6.58;0.05;0;0;1.18;1.07;0.21;1.18;1.44;0;0;0;4.01;0.43;0.8;34.8;https://tmssl.akamaized.net/images/foto/normal/felipe-anderson-149209.png?lm=1
95;Benjamin Andr ;FRA;MF;Lille;Ligue 1;32;1990;20;20;1756;19.5;1;0.77;0.1;13.3;0.07;0.5;16.2;0;0;0;57.3;68;84.3;1014.7;329.4;25.2;28.6;88;22.6;25.5;88.4;6.82;9.18;74.3;0.05;0.77;8.51;0.77;0;9.08;68;66.6;1.28;1.18;0.21;0.62;0.36;0.1;0;0;0;0;57.3;0.15;0.92;2.46;2.26;0;0;0.1;0.05;0.05;0.26;0.21;0;0;0;0.05;0;4.15;2.31;1.54;2.1;0.51;2.05;3.74;54.8;1.69;1.69;0.36;1.33;1.44;5.59;2;0;81.9;3.38;19.2;52.5;10.8;1.03;81.9;1.13;0.67;59.1;0.36;31.8;60.7;297;121.5;1.13;1.23;0;1.49;1.44;55.4;1.33;0.26;0;0;1.74;1.38;0.05;0.36;2.31;0.05;0;0;8.92;3.33;2.05;61.9;https://tmssl.akamaized.net/images/foto/normal/benjamin-andre-159760.png?lm=1
96;Komnen Andri?;SRB;FW;Clermont Foot;Ligue 1;27;1995;23;15;1250;13.9;4;1.94;0.79;40.7;0.11;0.27;13.9;0;0.07;0.14;20.6;27.4;75.3;301.8;42.2;11.4;15;76.4;6.19;7.7;80.4;1.37;1.65;82.6;0.14;1.01;1.44;0.29;0;1.73;27.4;25;2.3;0;0;0.29;0.07;0;0;0;0;0;20.6;0.14;0.86;2.09;1.73;0;0.07;0.14;0.14;0;0.22;0.07;0;0;0.14;0;0;0.79;0.29;0.14;0.36;0.29;0.14;1.01;14.3;0.86;0.43;0.07;0.36;0.58;1.37;0.72;0;38;0.79;2.59;22.2;13.4;3.6;37.8;0.79;0.36;45.5;0.29;36.4;27.1;135;29.9;0.58;0.79;0.29;3.02;1.73;30.4;5.9;0.22;0;0;1.01;2.59;0.43;0.07;0.29;0.07;0;0;2.52;2.95;3.38;46.6;https://tmssl.akamaized.net/images/foto/normal/komnen-andric-159759.png?lm=1
97;Robert Andrich;GER;MF;Leverkusen;Bundesliga;28;1994;18;17;1416;15.7;2;1.02;0.25;25;0.13;0.5;20.7;0.06;0;0;44.8;53.5;83.7;732.5;195.6;22.1;25.1;88.1;17.5;20.3;86.2;3.31;4.84;68.4;0.13;0.57;3.44;0.45;0.06;4.33;53.5;51.8;1.59;1.34;0;0.25;0.19;0.25;0;0;0;0;44.8;0.06;0.64;1.46;1.27;0;0;0.06;0;0.13;0.19;0.13;0;0;0;0;0.06;2.42;1.59;1.21;0.96;0.25;1.02;1.53;66.7;0.51;1.15;0.45;0.7;1.15;3.57;2.1;0.13;63.3;4.08;18.8;38.3;6.5;0.51;63.3;0.06;0.06;100;0;0;25;109.6;51.7;0.38;0.32;0;0.83;0.13;40.1;0.19;0.32;0;0;1.78;0.57;0;0.19;1.59;0;0;0.06;5.48;1.4;1.27;52.4;https://tmssl.akamaized.net/images/foto/normal/robert-andrich-156776.png?lm=1
98;Angeliño;ESP;DF;Hoffenheim;Bundesliga;26;1997;19;18;1597;17.7;0;0.62;0.17;27.3;0;0;20.8;0.06;0;0;36.1;54.5;66.2;673.8;261.5;15.4;18.1;85.3;15.1;21.6;69.7;5.03;11.2;44.7;0.28;2.03;2.66;1.86;1.02;3.73;54.5;40.8;12.9;1.13;0.06;0.51;6.67;10.2;1.58;0.51;0.9;0;36;https://bulinews.com/i/x/4202.jpg
99;Fabrizio Angileri;ARG;DF;Getafe;La Liga;28;1994;8;7;510;5.7;0;0.53;0;0;0;0;23.6;0;0;0;22.8;38.8;58.8;395.4;150.2;10.5;13;81.1;9.82;16.8;58.3;1.75;5.26;33.3;0;0;2.28;0.18;0;2.63;38.8;27.7;11.1;0.53;0;0.35;1.58;10.5;0;0;0;0;22.8;0;2.11;0.88;0.53;0;0.18;0;0;0.18;0.35;0.18;0;0;0;0;0.18;1.23;0.88;0.7;0.35;0.18;0.88;1.93;45.5;1.05;1.23;0.53;0.7;1.05;2.28;1.4;0;47.9;2.46;12.5;24.2;11.2;0.53;47.9;1.4;0.35;25;0.88;62.5;17.9;78.6;33.9;0.7;0.88;0;0.7;0.18;21.8;1.93;0.35;0.18;0;1.05;0.18;0;1.58;0.88;0;0.18;0;2.81;2.46;1.23;66.7; https://tse1.mm.bing.net/th/id/OIP.rPAtxJHBL1aBrIbF9P5pkwHaEf?pid=Api&P=0&h=180
100;Jaidon Anthony;ENG;MFFW;Bournemouth;Premier League;23;1999;17;7;783;8.7;3;1.95;1.15;58.8;0.18;0.3;19.9;0.23;0;0;28.9;39.5;73;424;118.4;16.8;19.2;87.4;7.82;11.1;70.1;2.3;4.14;55.6;0;0.92;1.72;1.49;0.57;4.02;39.5;35.5;4.02;0.92;0.23;0.57;3.56;1.72;1.26;0.8;0;0.11;28.9;0;1.61;3.1;2.3;0.34;0.11;0.11;0.11;0.11;0.11;0;0;0;0;0.11;0;2.76;1.49;1.38;0.8;0.57;0.69;2.07;33.3;1.38;1.84;0.11;1.72;0.57;3.33;1.03;0;52.9;1.26;10;19.4;24;2.76;52.9;2.87;0.92;32;1.95;68;30.1;169;70;2.07;2.07;0.92;1.72;1.38;33.8;5.29;0.11;0;0;0.69;0.69;0.34;3.56;1.49;0;0;0;5.17;0.92;1.03;47.1;https://tse2.mm.bing.net/th/id/OIP.-YQZBZ-K31osBWhmIsWTkgHaEK?pid=Api&P=0&h=180
101;Janis Antiste;FRA;FW;Sassuolo;Serie A;20;2002;2;0;52;0.6;1;1.67;1.67;100;1;1;17.3;0;0;0;21.7;30;72.2;265;71.7;13.3;18.3;72.7;6.67;8.33;80;0;1.67;0;0;0;0;0;0;1.67;30;30;0;0;0;0;0;0;0;0;0;0;21.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;0;1.67;0;0;1.67;1.67;100;0;0;0;0;0;1.67;0;0;38.3;0;11.7;15;11.7;1.67;38.3;1.67;0;0;1.67;100;23.3;81.7;15;0;0;0;1.67;0;26.7;3.33;0;0;0;6.67;0;0;0;0;0;0;0;6.67;3.33;1.67;66.7;https://tse1.mm.bing.net/th/id/OIP.emGu_FnJyq_WwpfIh96NgQHaE8?pid=Api&P=0&h=180
