Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%;Thumbnail
82;Ibrahim Amadou;FRA;DFMF;Angers;Ligue 1;29;1993;6;4;401;4.5;0;0.44;0;0;0;0;24.4;0;0;0;33.8;38.9;86.9;643.3;259.6;10.7;11.3;94.1;20;21.1;94.7;2.67;5.11;52.2;0;0.22;0.67;0;0;0.89;38.9;38;0.89;0.89;0;0;0.22;0;0;0;0;0;33.8;0;0.67;0.67;0.67;0;0;0;0;0;0;0;0;0;0;0;0;2;1.33;1.11;0.67;0.22;1.56;2.22;70;0.67;1.33;0.67;0.67;1.78;3.78;4;0;49.3;11.8;31.8;15.8;2;0.44;49.3;0.22;0;0;0.22;100;34.7;180.9;83.1;0;0.67;0;0.22;0.67;30.4;0.89;0.44;0;0;0.89;0.44;0;0.22;1.33;0;0.44;0;5.33;1.33;1.11;54.5;https://tmssl.akamaized.net/images/foto/normal/ibrahim-amadou-159764.png?lm=1
83;Daniel Amartey;GHA;DF;Leicester City;Premier League;28;1994;17;15;1365;15.2;0;0.2;0.13;66.7;0;0;25.2;0;0;0;57.5;62.8;91.5;996.8;379.9;25.2;26.8;94.1;27.8;29.3;94.8;3.82;5.53;69;0;0.33;3.42;0.07;0;4.08;62.8;61.7;1.05;0.79;0.13;0.13;0;0.26;0;0;0;0;57.5;0.07;0.13;0.92;0.92;0;0;0;0;0;0.07;0.07;0;0;0;0;0;1.12;0.39;0.72;0.33;0.07;0.66;0.79;83.3;0.13;1.25;0.79;0.46;0.53;1.64;3.82;0;71.8;10.5;37.1;32.2;2.63;0.33;71.8;0.33;0.13;40;0.13;40;43.7;211.2;128;1.18;0.66;0;0.46;0.26;52.1;0.33;0.07;0;0;0.46;0.2;0;0;0.39;0;0.07;0;5.53;1.91;1.51;55.8;https://tmssl.akamaized.net/images/foto/normal/daniel-amartey-156780.png?lm=1
84;Amath;SEN;MFFW;Mallorca;La Liga;26;1996;14;3;494;5.5;1;1.82;0.73;40;0.1;0.25;15.3;0;0;0;16.7;21.6;77.3;225.5;64.2;10.9;12;90.9;4;6;66.7;0.73;1.27;57.1;0;0.36;0.91;0.73;0.36;1.45;21.6;20.7;0.73;0;0.18;0;1.27;0.55;0;0;0;0;16.7;0.18;0.91;2.73;1.45;0;0.55;0.36;0.18;0.18;0.36;0;0;0.18;0;0.18;0;3.09;1.82;1.27;0.73;1.09;1.45;2.18;66.7;0.73;0.55;0;0.55;0.36;3.45;0.36;0;34.7;1.09;3.82;11.8;19.6;2.73;34.7;2.36;0.91;38.5;1.45;61.5;19.5;132;66.7;2.18;1.45;1.09;3.64;1.64;20.9;4.91;0.36;0;0;2.73;1.09;0.55;1.27;1.82;0.18;0;0;4.55;0.36;0.91;28.6;https://tmssl.akamaized.net/images/foto/normal/amath-ndiang-149211.png?lm=1
85;Jordan Amavi;FRA;DF;Getafe;La Liga;28;1994;4;1;193;2.1;0;0;0;0;0;0;0;0;0;0;24.3;45.7;53.1;371;177.1;13.3;18.6;71.8;8.57;17.1;50;1.43;5.24;27.3;0;0;0.95;0;0;2.38;45.7;32.9;12.9;0.48;0;0;2.86;12.4;0;0;0;0;24.3;0;2.38;0.95;0.95;0;0;0;0;0;0.48;0.48;0;0;0;0;0;1.43;0.95;1.43;0;0;0.48;1.43;33.3;0.95;1.43;0;1.43;1.9;3.33;3.33;0;56.2;3.81;15.7;31;10.5;0.48;56.2;0.48;0;0;0.48;100;19.5;110;57.6;1.9;1.9;0.48;0.48;0;20.5;2.38;0.95;0.48;0.48;0.95;0.95;0.48;2.86;0.95;0;0;0;7.14;3.81;1.43;72.7;https://tmssl.akamaized.net/images/foto/normal/jordan-amavi-149210.png?lm=1
86;Kelvin Amian;FRA;DF;Spezia;Serie A;25;1998;15;11;1049;11.7;0;0.77;0.09;11.1;0;0;19.8;0.09;0;0;29.8;39.8;74.9;507.8;208.9;14.4;17;84.4;12.6;16.6;75.8;2.31;4.44;51.9;0.09;0.51;2.39;0.43;0.26;3.08;39.8;31.8;7.95;0.85;0.09;0.17;0.6;7.01;0;0;0;0;29.8;0.09;0.85;0.94;0.77;0;0;0.09;0;0.09;0.09;0;0;0;0.09;0;0;2.05;1.2;1.28;0.34;0.43;0.77;0.85;90;0.09;0.94;0.43;0.51;1.11;3.16;3.5;0.09;50.2;4.79;20.3;18.6;11.5;1.37;50.2;0.77;0.34;44.4;0.26;33.3;21.3;110.6;57.7;1.62;0.77;0.09;0.85;0.43;24.6;2.39;0.26;0;0;1.71;0.17;0.09;0.6;1.2;0;0;0;3.85;1.62;1.62;50;https://tmssl.akamaized.net/images/foto/normal/kelvin-amian-159763.png?lm=1
87;Bruno Amione;ARG;DF;Hellas Verona;Serie A;21;2002;1;1;58;0.6;0;0;0;0;0;0;0;0;0;0;18.3;26.7;68.8;278.3;66.7;10;10;100;8.33;11.7;71.4;0;3.33;0;0;0;0;0;0;0;26.7;15;11.7;0;0;0;0;5;0;0;0;0;18.3;0;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;1.67;1.67;0;0;1.67;3.33;50;1.67;1.67;0;1.67;0;1.67;6.67;0;33.3;15;28.3;6.67;0;0;33.3;0;0;0;0;0;11.7;36.7;13.3;0;0;0;0;0;6.67;0;1.67;0;0;5;0;0;0;1.67;0;0;0;8.33;1.67;0;100;https://tmssl.akamaized.net/images/foto/normal/bruno-amione-162388.png?lm=1
88;Bruno Amione;ARG;DF;Sampdoria;Serie A;21;2002;10;10;790;8.8;0;0.57;0.11;20;0;0;13.7;0;0;0;36.7;47.6;77.1;642;245.3;15.3;17.8;86;18.5;22.5;82.3;2.73;5.45;50;0.11;0.23;0.91;0.34;0.11;2.5;47.6;41.1;6.25;2.05;0;0;0.34;4.2;0;0;0;0;36.7;0.23;1.14;0.68;0.57;0;0;0.11;0;0;0.11;0;0;0;0.11;0;0;2.61;1.59;1.93;0.68;0;1.14;1.82;62.5;0.68;1.14;0.45;0.68;1.25;3.86;2.39;0.11;58;4.77;32.3;21.6;4.66;1.36;58;0.23;0;0;0.23;100;27;103.1;41.6;0.23;0.45;0;0.91;0;28.1;0.68;0.57;0;0;1.14;0.68;0;0.34;1.59;0;0.11;0;5.34;3.3;1.82;64.4;https://tmssl.akamaized.net/images/foto/normal/bruno-amione-162388.png?lm=1
89;Nadiem Amiri;GER;MFFW;Leverkusen;Bundesliga;26;1996;15;5;636;7.1;2;1.69;0.7;41.7;0.17;0.4;24.7;0.14;0;0;37;44.2;83.8;607.3;146.2;18.3;20;91.5;13.5;15.1;89.7;3.8;5.77;65.9;0.14;1.27;3.8;0.85;0.14;4.65;44.2;41.3;2.68;1.27;0.28;0.28;1.27;0.14;0.7;0.14;0.56;0;37;0.28;1.55;3.1;2.11;0.14;0.42;0.14;0.28;0;0.56;0.28;0;0.14;0;0.14;0;1.13;0.42;0.28;0.7;0.14;0.85;1.69;50;0.85;0.99;0;0.99;0.42;1.55;1.27;0.14;53.7;1.13;8.45;31;14.8;1.13;53.7;2.96;1.27;42.9;1.41;47.6;29.2;182.7;89;2.39;2.25;0.56;1.27;0.42;36.9;2.96;0.42;0;0;1.27;2.25;0.28;1.27;0.42;0;0;0;6.34;0;0.99;0;https://tmssl.akamaized.net/images/foto/normal/nadiem-amiri-159762.png?lm=1
90;Ethan Ampadu;WAL;DFMF;Spezia;Serie A;22;2000;16;16;1360;15.1;0;0.79;0.26;33.3;0;0;17.4;0;0;0;36.4;48.7;74.7;688.9;284.6;13.8;16.7;82.5;18.1;21.4;84.8;3.97;8.54;46.5;0.07;0.53;4.24;0.6;0.26;5.3;48.7;44.1;4.3;2.05;0.07;0.79;0.66;2.25;0;0;0;0;36.4;0.33;0.73;1.79;1.52;0;0;0.13;0.07;0.07;0.26;0.26;0;0;0;0;0;2.91;1.66;1.19;1.46;0.26;0.73;1.39;52.4;0.66;1.85;0.73;1.13;1.19;4.11;2.05;0;59.8;4.7;22.6;31.3;6.62;0.86;59.8;0.33;0.2;60;0.07;20;29.7;167.2;82.2;0.6;0.6;0;0.66;0.26;33;0.6;0.33;0;0;1.59;0.79;0.07;0.66;1.66;0;0.07;0;7.09;2.32;1.32;63.6;https://tmssl.akamaized.net/images/foto/normal/ethan-ampadu-156779.png?lm=1
91;Sofyan Amrabat;MAR;MF;Fiorentina;Serie A;26;1996;18;14;1165;12.9;0;0.54;0.16;28.6;0;0;26.3;0;0;0;62.2;70.1;88.8;1252.9;332.6;20.5;23;89.2;31.2;33.3;93.7;9.69;11.8;82.2;0;0.54;8.29;1.01;0.39;9.3;70.1;65.5;4.42;4.03;0;0.93;0.93;0.31;0;0;0;0;62.2;0.16;0.85;1.71;1.63;0;0;0;0.08;0;0;0;0;0;0;0;0;1.71;1.16;0.78;0.54;0.39;0.78;1.24;62.5;0.47;1.09;0.31;0.78;1.16;2.87;0.62;0.08;77.2;1.86;11.8;53.1;13.4;0.23;77.2;0.93;0.47;50;0.39;41.7;52.6;309.8;147.9;1.63;1.47;0;1.32;1.01;56.4;1.09;0.62;0;0;2.17;1.55;0;0.93;1.16;0;0;0;7.36;0.54;0.54;50;https://tmssl.akamaized.net/images/foto/normal/sofyan-amrabat-159761.png?lm=1
